first_name,surname,email.x,role,gender,country,citizenship,affiliation,report,email.y
Francisco,Doblas-Reyes,NA,CLA,M,Spain,Spain,ICREA and Barcelona Supercomputing Center-Centro Nacional de Supercomputación,AR6-WG1,NA
Francisco,Meza,NA,LA,M,Chile,Chile,Pontificia Universidad Catolica de Chile,AR6-WG2,NA
Francois,Engelbrecht,NA,LA,M,South Africa,South Africa,University of the Witwatersrand,AR6-WG1,NA
François,Gemenne,NA,LA,M,Belgium,Belgium,University of Liège,AR6-WG2,NA
Frank,Dentener,NA,LA,M,Italy,Netherlands,European Commission Joint Research Centre,AR6-WG1,NA
Gabriel,Blanco,NA,Core_Writing_Team,M,Argentina,Argentina,Universidad Nacional del Centro (UNICEN),AR6-SYR,NA
Gabriele C.,Hegerl,NA,RE,F,UK,Germany,Geosciences,AR6-WG1,NA
Gautam Hirak,Talukdar,NA,LA,M,India,India,Wildlife Institute of India,AR6-WG2,NA
Gemma Teresa,Narisma,NA,CLA,F,Philippines,Philippines,Manila Observatory,AR6-WG1,NA
Georg,Kaser,NA,RE,M,Austria,Italy,University of Innsbruck,AR6-WG2,NA
Gerald,Nelson,NA,LA,M,USA,USA,"University of Illinois, Urbana-Champaign",AR6-WG2,NA
Gian Carlo,Delgado Ramos,NA,RE,M,Mexico,Mexico,NATIONAL AUTONOMOUS UNIVERSITY OF MEXICO,AR6-WG2,NA
Gian-kasper,Plattner,NA,LA,M,Switzerland,Switzerland,"Swiss Federal Research Institute for Forest, Snow and Landscape WSL",AR6-WG1,NA
Glenn,Mcgregor,NA,LA,M,UK,New Zealand,Durham University,AR6-WG2,NA
Gonéri,Le Cozannet,NA,Author,M,France,France,BRGM - French Geological Survey,AR6-WG2,NA
Govindasamy,Bala,NA,LA,M,India,USA,Indian Institute of Science,AR6-WG1,NA
Grace,Ngaruiya,NA,LA,F,Kenya,Kenya,Kenyatta University,AR6-WG2,NA
Gregory,Flato,NA,RE,M,Canada,Canada,"Environment and Climate Change Canada, Canadian Centre for Climate Modelling and Analysis",AR6-WG1,NA
Gregory E.,Insarov,NA,LA,M,Russia,Russia,Institute of Geography of the Russian Academy of Sciences,AR6-WG2,NA
Gretta,Pecl,NA,LA,F,Australia,Australia,University of Tasmania,AR6-WG2,NA
Guðfinna,Aðalgeirsdóttir,NA,LA,F,Iceland,Iceland,University of Iceland,AR6-WG1,NA
GuÉladio,Cissé,NA,CLA,M,France,Mauritania,"Swiss Tropical and Public Health Institute (Swiss TPH), University of Basel",AR6-WG2,NA
Gustavo,Nagy,NA,LA,M,Uruguay,Uruguay,Universidad de la República,AR6-WG2,NA
Gusti Zakaria,Anshari,NA,LA,M,Indonesia,Indonesia,"Universitas Tanjungpura, Pontianak, West Kalimantan Province",AR6-WG2,NA
H. Damon,Matthews,NA,RE,M,Canada,Canada,Concordia University,AR6-WG1,NA
Halvard,Buhaug,NA,LA,M,Norway,Norway,Peace Research Institute Oslo,AR6-WG2,NA
Heleen,De Coninck,NA,CLA,F,Netherlands,Netherlands,"Eindhoven University of Technology, Technology, Innovation and Society Group, Atlas Building",AR6-WG3,NA
Helen,Adams,NA,LA,F,UK,UK,King's College London,AR6-WG2,NA
Helen,Gurney-Smith,NA,LA,F,Canada,Canada,Fisheries and Oceans Canada,AR6-WG2,NA
Helene,Hewitt (Nee Banks),NA,CLA,F,UK,UK,Met Office Hadley Centre,AR6-WG1,NA
Henry,Neufeldt,NA,Author,M,Denmark,Germany,UNEP DTU Partnership,AR6-WG2,NA
Hermann,Held,NA,RE,M,Germany,Germany,University of Hamburg,AR6-WG3,NA
Hervé,Douville,NA,CLA,M,France,France,Météo-France,AR6-WG1,NA
Hong,Liao,NA,LA,F,China,China,Nanjing University of Information Science and Technology,AR6-WG1,NA
Hua,Zhang,NA,LA,F,China,China,"National Climate Center, China Meteorological Administration",AR6-WG1,NA
Hui,Ju,NA,LA,F,China,China,"Institute of Enviroment and Sustainable Development in Agriculture, Chinese Academy of Agricultural Sciences",AR6-WG2,NA
Hyacinth,Nnamchi,NA,LA,M,Nigeria,Nigeria,University of Nigeria,AR6-WG1,NA
Ibidun,Adelekan,NA,CLA,F,Nigeria,Nigeria,"UNIVERSITY OF IBADAN, IBADAN, NIGERIA",AR6-WG2,NA
Indra,Bhatt,NA,LA,M,India,India,G.B. Pant National Institute of Himalayan Environment and Sustainable Development,AR6-WG2,NA
Inés,Camilloni,NA,RE,F,Argentina,Argentina,Centro de Investigaciones del Mar y la Atmosfera (CIMA) - University of Buenos Aires - CONICET,AR6-WG1,NA
Intan,Nurhati,NA,LA,F,Indonesia,Indonesia,Indonesian Institute of Sciences,AR6-WG1,NA
Irina,Gorodetskaya,NA,LA,F,Portugal,Russia,University of Aveiro,AR6-WG1,NA
Iskhaq,Iskandar,NA,LA,M,Indonesia,Indonesia,University of Sriwijaya,AR6-WG1,NA
Izdine,Pinto,NA,LA,M,South Africa,Mozambique,University of Cape Twon,AR6-WG1,NA
Izuru,Takayabu,NA,LA,M,Japan,Japan,"Department of Climate and Geo-chemistry Research, Meteorological Research Institute / Japan Meteorological Agency, Japan.",AR6-WG1,NA
Jackie,Dawson,NA,LA,F,Canada,Canada,University of Ottawa,AR6-WG2,NA
Jackson,Efitre,NA,LA,M,Uganda,Uganda,MAKERERE UNIVERSITY,AR6-WG2,NA
James,Kossin,NA,LA,M,USA,USA,NOAA/NCEI Center for Weather and Climate,AR6-WG1,NA
James,Morison,NA,RE,M,UK,UK,Forest Research (Research Agency of the UK Forestry Commission),AR6-WG2,NA
James A.,Edmonds,NA,LA,M,USA,USA,Pacific Northwest National Laboratory,AR6-WG3,NA
James A.,Renwick,NA,CLA,M,New Zealand,New Zealand,Victoria University of Wellington,AR6-WG1,NA
Jan,Witajewski-Baltvilks,NA,LA,M,Poland,Poland,"University of Warsaw, Faculty of Economic Sciences",AR6-WG3,NA
Jan C.,Semenza,NA,LA,M,Sweden,Sweden,European Centre for Disease Prevention and Control,AR6-WG2,NA
Jana,Sillmann,NA,LA,F,Norway,Germany,Center for International Climate Research - Oslo (CICERO),AR6-WG1,NA
Jean Pierre,Ometto,NA,LA,M,Brazil,Brazil,NATIONAL INSTITUTE FOR SPACE RESEARCH,AR6-WG2,NA
Jean-baptiste,Sallée,NA,LA,M,France,France,"CNRS/Sorbonne Universités (UPMC Univ.), UMR 7159, LOCEAN-IPSL Institute",AR6-WG1,NA
Jean-françois,Toussaint,NA,RE,M,France,France,University Paris Descartes,AR6-WG2,NA
Jean-louis,Dufresne,NA,LA,M,France,France,"LMD/IPSL , CNRS & UPMC",AR6-WG1,NA
Jeff,Price,NA,Author,M,UK,UK,University of East Anglia (UEA),AR6-WG2,NA
Jeffrey,Hicke,NA,CLA,M,USA,USA,University of Idaho,AR6-WG2,NA
Jens Hesselbjerg,Christensen,NA,RE,M,Denmark,Denmark,"Niels Bohr Institute, University of Copenhagen",AR6-WG1,NA
Jessica,Tierney,NA,LA,F,USA,USA,The University of Arizona,AR6-WG1,NA
Jian,Li,NA,LA,M,China,China,Chinese Academy of Meteorological Sciences,AR6-WG1,NA
Jin-ho,Yoon,NA,LA,M,Republic of Korea,Republic of Korea,Gwangju Institute of Science and Technology,AR6-WG1,NA
Jinho,Ahn,NA,LA,M,Republic of Korea,Republic of Korea,Seoul National University,AR6-WG1,NA
Jochem,Marotzke,NA,CLA,M,Germany,Germany,Max Planck Institute for Meteorology,AR6-WG1,NA
Joelle,Gergis,NA,LA,F,Australia,Australia,"Fenner School of Environment & Society, ARC Centre of Excellence for Climate Extremes, The Australian National University",AR6-WG1,NA
Johanna,Nalau,NA,LA,F,Australia,Finland,Griffith University,AR6-WG2,NA
Johannes,Quaas,NA,LA,M,Germany,Germany,University of Leipzig,AR6-WG1,NA
John,Agard,NA,RE,M,Trinidad and Tobago,Trinidad and Tobago,"UNIVERSITY OF THE WEST INDIES, ST AUGUSTINE CAMPUS",AR6-WG2,NA
John,Dunne,NA,LA,M,USA,USA,NOAA Geophysical Fluid Dynamics Laboratory,AR6-WG1,NA
John,Fyfe,NA,LA,M,Canada,Canada,Environment and Climate Change Canada,AR6-WG1,NA
John,Pinnegar,NA,LA,M,UK,UK,"Centre for Environment, Fisheries & Aquaculture Science (Cefas)",AR6-WG2,NA
Johnny,Chan,NA,RE,M,China,China,"School of Energy and Environment, City University of Hong Kong",AR6-WG1,NA
Joni,Jupesta,NA,LA,M,Japan,Indonesia,United Nations University- Institute of Advanced Studies of Sustainability (UNU-IAS),AR6-WG3,NA
José Manuel,Gutiérrez,NA,CLA,M,Spain,Spain,Spanish National Research Council (CSIC). Instituto de Física de Cantabria.,AR6-WG1,NA
Jose Manuel,Moreno,NA,RE,M,Spain,Spain,UNIVERSITY OF CASTILLA-LA MANCHA,AR6-WG2,NA
Josep,Canadell,NA,CLA,M,Australia,Australia,"Comonwealth Scientic and Industrial Organization (CSIRO), Oceans and Atmosphere",AR6-WG1,NA
Joseph,Mutemi,NA,LA,M,Kenya,Kenya,University of Nairobi,AR6-WG1,NA
Juan,Pulhin,NA,LA,M,Philippines,Philippines,Climate Change Commission,AR6-WG2,NA
Juan Antonio,Rivera,NA,LA,M,Argentina,Argentina,"Argentine Institute for Snow Research, Glaciology and Environmental Sciences (IANIGLA), National Scientific and Technical Research Council of Argentina (CONICET)",AR6-WG1,NA
Judy,Lawrence,NA,CLA,F,New Zealand,New Zealand,"NZ Climate Change Research Institute, Victoria University of Wellington",AR6-WG2,NA
Julio,C. Postigo,NA,LA,M,USA,Peru,Indiana University,AR6-WG2,NA
Julio,Torres Martínez,NA,RE,M,Cuba,Cuba,"Center for World Economic Research (CIEM, in Spanish)",AR6-WG3,NA
Julius Partson,Daka,NA,LA,M,Zambia,Zambia,C/O ZAMBIA ENVIRONMENTAL MANAGEMENT AUTHORITY ZEMA,AR6-WG3,NA
Kanako,Morita,NA,LA,F,Japan,Japan,Forestry and Forest Products Research Institute,AR6-WG3,NA
Kanako,Tanaka,NA,LA,F,Japan,Japan,National Institute of Advanced Industrial Science and Technology (AIST),AR6-WG3,NA
Kanungwe,Kalaba,NA,LA,M,Zambia,Zambia,Copperbelt University,AR6-WG2,NA
Karim,Hilmi,NA,RE,M,Morocco,Morocco,Institut National de Recherche Halieutique,AR6-WG2,NA
Karina,Von Shuckmann,NA,LA,F,France,Germany,Mercator Ocean International,AR6-WG1,NA
Kathleen,Miller,NA,LA,F,USA,USA,"Research Applications Lab, National Center for Atmospheric Research",AR6-WG2,NA
Kathryn,Bowen,NA,LA,F,Australia,Australia,University of Melbourne,AR6-WG2,NA
Katja,Frieler,NA,LA,F,Germany,Germany,Potsdam Institute for Climate Impact Research,AR6-WG2,NA
Keigo,Akimoto,NA,LA,M,Japan,Japan,Research Institute of Innovative Technology for the Earth (RITE),AR6-WG3,NA
Kenichi,Wada,NA,LA,M,Japan,Japan,Research Institute of Innovative Technology for the Earth (RITE),AR6-WG3,NA
Kenji,Tanaka,NA,LA,M,Japan,Japan,"Department of Technology Management for Innovation, Graduate School of Engineering, University of Tokyo",AR6-WG3,NA
Kevin,Hennessy,NA,LA,M,Australia,Australia,CSIRO Oceans and Atmosphere,AR6-WG2,NA
Kim,Cobb,NA,LA,F,USA,USA,Georgia Inst. of Technology,AR6-WG1,NA
Kirsten,Halsnaes,NA,CLA,F,Denmark,Denmark,"The Danish Technical University, DTU",AR6-WG3,NA
Kirsten,Zickfeld,NA,LA,F,Canada,Germany,Simon Fraser University,AR6-WG1,NA
Kirstin,Holsman,NA,Author,F,USA,USA,National Oceanic and Atmospheric Administration,AR6-WG2,NA
Knut Yngve,Børsheim,NA,LA,M,Norway,Norway,Institute of Marine Research,AR6-WG2,NA
Kripa,Vasant,NA,LA,F,India,India,INDIAN COUNCIL OF AGRICULTURAL RESEARCH,AR6-WG2,NA
Krishna,Achutarao,NA,LA,M,India,India,Indian Institute of Technology Delhi,AR6-WG1,NA
Krishna Kumar,Kanikicharla,NA,RE,M,Qatar,India,Qatar Meterology Department,AR6-WG1,NA
Krishnan,Raghavan,NA,CLA,M,India,India,"Indian Institute of Tropical Meteorology, Centre for Climate Change Research",AR6-WG1,NA
Kristie,Ebi,NA,LA,F,USA,USA,University of Washington,AR6-WG2,NA
Kyle,Armour,NA,LA,M,USA,USA,"University of Washington, Seattle",AR6-WG1,NA
Laura,Astigarraga,NA,LA,F,Uruguay,Uruguay,University of the Republic,AR6-WG2,NA
Laura,Diaz Anadon,NA,LA,F,UK,Spain,"Department of Land Economy, University of Cambridge; Centre for Environment, Energy and Natural Resource Governance (C-EENRG)",AR6-WG3,NA
Laura,Gallardo,NA,LA,F,Chile,Chile,"University of Chile, Center for Climate and Resilience Research, Geophysics Department",AR6-WG1,NA
Laura,Ramajo Gallardo,NA,LA,F,Chile,Spain,ADOLFO IBAÑEZ UNIVERSITY,AR6-WG2,NA
Lauren,Rickards,NA,LA,F,Australia,Australia,RMIT University,AR6-WG2,NA
Laurent,Bopp,NA,LA,M,France,France,LSCE,AR6-WG2,NA
Laurent,Terray,NA,LA,M,France,France,"CECI, CERFACS/CNRS",AR6-WG1,NA
Lawrence,Agbemabiese,NA,LA,M,USA,Ghana,University of Delaware,AR6-WG3,NA
Lea,Berrang Ford,NA,LA,F,UK,Canada,University of Leeds,AR6-WG2,NA
Leticia,Cotrim Da Cunha,NA,LA,F,Brazil,Brazil,Universidade do Estado do Rio de Janeiro – Faculdade de Oceanografia,AR6-WG1,NA
Liliana Raquel,Miranda Sara,NA,LA,F,Peru,Peru,FORO CIUDADES PARA LA VIDA,AR6-WG2,NA
Lincoln,Muniz Alves,NA,LA,M,Brazil,Brazil,National Institute for Space Research (INPE),AR6-WG1,NA
Linda,Mearns,NA,RE,F,USA,USA,National Center for Atmospheric Research,AR6-WG2,NA
Linda,Mortsch,NA,CLA,F,Canada,Canada,University of Waterloo,AR6-WG2,NA
Lindsay,Stringer,NA,LA,F,UK,UK,University of York,AR6-WG2,NA
Lisa,Levin,NA,RE,F,USA,USA,University of California San Diego,AR6-WG2,NA
Lisa,Schipper,NA,CLA,F,UK,Sweden,University of Oxford,AR6-WG2,NA
Lucas,Ruiz,NA,LA,M,Argentina,Argentina,IANIGLA CCT-MENDOZA CONICET,AR6-WG1,NA
Luis,Fernandez-Carril,NA,LA,M,Mexico,Mexico,"Technological Institute and Higher Studies of Monterrey, Special Commission on Climate Change of the Senate of Mexico",AR6-WG2,NA
Luna,Khirfan,NA,LA,F,Canada,Canada,"School of Planning, The University of Waterloo",AR6-WG2,NA
Maarten,Van Aalst,NA,CLA,M,Netherlands,Netherlands,Red Cross Red Crescent Climate Centre (and IRI/Columbia University & STEaPP/UCL),AR6-WG2,NA
Mahmood,Riyaz,NA,RE,M,Maldives,Maldives,Maldivian Coral Reef Society,AR6-WG2,NA
Mansour,Almazroui,NA,LA,M,Saudi Arabia,Saudi Arabia,"Center of Excellence for Climate Change Research, King Abdulaziz University",AR6-WG1,NA
Marcelo,Barreiro Parrillo,NA,LA,M,Uruguay,Uruguay,Department of Atmospheric Sciences-Universidad de la República,AR6-WG1,NA
