age,gender,gender_other,country_residence,country_work,nature_work,agree_ipcc,noagree_ipcc,complicated_ipcc,cbi_personal,cbi_work,dass_depression,dass_anxiety,dass_stress,dass_total,hopeful_future_rating,worried_future,response_id,time
70,Male,,Australia,,"Both research (Earth System science), mainly with colleagues from Europe, and communication, mainly on climate change, in Australia",1,,,37.5,39.285714285714285,2,0,4,6,49,50,97Qbpw9ZPl,1
68,Male,,Germany,,Atmospheric scientist,1,,,16.666666666666668,3.5714285714285716,1,1,1,3,62,60,O3kh1VkyBl,1
65,Male,,UK,UK,Instrumental Climate Change,1,,,50,50,7,7,8,22,61,64,QfYSr5HUeH,1
49,Female,,UK,,"researcher and university  lecturer (reader/associate prof),land-climate interactions and climate policy",1,,,66.66666666666667,35.714285714285715,3,3,7,13,46,68,F3Kf2n5gPF,1
56,Male,,UK,,Climate scientist,1,,,37.5,28.571428571428573,3,0,6,9,77,64,AAUsacl7GG,1
60,Male,,United States,Republic of Korea,teaching and research,1,,,33.333333333333336,25,7,5,10,22,41,66,rxnRwU7sQF,1
45,Male,,uk,,climate science research,1,,,54.166666666666664,28.571428571428573,1,0,6,7,80,31,4LCuCSyPlW,1
62,Female,,USA,,Professor of Environment and Development,1,,,45.833333333333336,39.285714285714285,5,0,8,13,30,76,Chyfk6iCL1,1
53,Female,,USA,,Economist researching climate and energy policies.,1,,,54.166666666666664,46.42857142857143,5,0,5,10,63,62,gpFYeJnVSY,1
72,Male,,USA,USA,energy systems,1,,,54.166666666666664,42.857142857142854,5,1,8,14,29,83,R_3gIba9pnfJSdL5x,2
43,Male,,Canada,Canada,"Faculty member, geoscience",1,,,70.83333333333333,67.85714285714286,6,5,11,22,20,83,R_1TZaqQJRDEHy7kG,2
62,Female,,United Kingdom,United Kingdom,Psychologist,2,"The so-called ""climate science"" is a one-party science, in which dissent is not allowed, much like most of ""social sciences.""",,0,14.285714285714286,0,0,0,0,80,30,R_22u8KHZ2jBXPAdg,2
59,Female,,USA,USA,"Professor, Oceanographer",1,,,37.5,39.285714285714285,1,5,5,11,51,62,R_9Ej9h8qq7Fwyka4,2
49,Male,,Australia,Fiji,Adaptation research,1,,,54.166666666666664,64.28571428571429,3,3,10,16,30,85,R_9lfWDUGUMSsT3Ox,2
72,Female,,USA,india,documenting biodiversity change,1,,,33.333333333333336,21.428571428571427,0,0,1,1,61,29,R_30rsRgqGsjaBNWu,2
48,Male,,Australia,Australia,Associate Professor - climate and health,1,,,37.5,21.428571428571427,0,1,6,7,30,30,R_9DpCRngl9iUTGct,2
76,Female,,USA,"Saudi Arabia, Namibia, Netherlands",Animal physiologist,1,,,0,7.142857142857143,2,1,5,8,61,65,R_663B06luepR6cIh,2
48,Female,,Japan,Japan,Forest ecology scientiat,1,,,20.833333333333332,14.285714285714286,0,0,0,0,84,72,R_2b4xyaNU8oFGA7f,2
62,4,,USA,USA,"professor, land use change",1,,,25,39.285714285714285,2,1,6,9,75,60,R_3mOidY4Y14gZIS7,2
58,Female,,Germany,Germany,"Climate modeling, field studies.  Climate physics.",3,,"I'd say yes, but 'presents a threat to the planet' is not sufficiently qualified for my taste.   The planet will be fine.  Humans perhaps not.",16.666666666666668,7.142857142857143,0,1,2,3,29,71,R_2qQWPiyIAKy3qWg,2
64,Male,,New Zealand,New Zealand,"Professor of Marine Science, researching marine geochemistry",1,,,41.666666666666664,42.857142857142854,3,3,3,9,19,81,R_960gn7kOoQybfBn,2
47,Female,,United Kingdom,United Kingdom,ASSOCIATE PROFESSOR - ECOLOGICAL,1,,,75,71.42857142857143,12,8,15,35,10,91,R_8CllRc4SZtrCMdF,2
NA,Female,,USA,"USA, Italy, Peru, Kyrgyzstan, Uganda","anthropologist, adap.tation researcher",1,,,20.833333333333332,10.714285714285714,0,0,4,4,81,70,R_6KEOBdqpEBCKJoZ,2
58,Female,,Netherlands,Netherlands,Moral philosopher - ethics and technology,1,,,37.5,39.285714285714285,6,2,5,13,50,60,R_8DOmz89aBrEkW3M,2
70,Female,,United States,United States,water science,1,,,0,14.285714285714286,0,0,0,0,100,2,R_3rP7Rf6QcdjlRfI,2
60,Female,,USA,USA,Professor--Environmental Sciences,3,,The planet is fine. The threat is to people (some more than others). There is also an effect on other organisms but the concept threat does not really apply.,8.333333333333334,10.714285714285714,1,1,3,5,80,40,R_6k3Q9FrritRg6OJ,2
NA,Female,,USA,USA,Economist,1,,,16.666666666666668,7.142857142857143,0,0,1,1,70,51,R_3FtcwsNi8NNljxW,2
50,Female,,Australia,Australia,Research,1,,,37.5,17.857142857142858,4,1,6,11,65,75,R_9lrR54Xj24IVG6f,2
44,Male,,USA,USA,Paleoecology,1,,,70.83333333333333,53.57142857142857,10,8,12,30,75,60,R_3kQ3RzMMj3IM6MV,2
38,Female,,China,China,Research associate,3,,,83.33333333333333,82.14285714285714,16,14,17,47,49,NA,R_9CCGIFxkbDRnFZs,2
61,Female,,Canada,"Canada, Ecuador, Malaysia, Bangladesh",Research professor - forest carbon proceses and forest restoration,1,,,12.5,17.857142857142858,0,0,1,1,80,60,R_3CckvUJPJRwfy1z,2
42,Male,,Australia,Australia,Ag climate change impacts and adaptation,1,,,50,53.57142857142857,2,1,9,12,40,70,R_4GDmdsJPWJ2Sytb,2
NA,Female,,Canada,Canada,climate scientist,1,,,29.166666666666668,25,1,1,1,3,49,51,R_7EFiowMfbSGOL0S,2
65,Male,,USA,USA,Epidemiologist PI and Professot,1,,,79.16666666666667,60.714285714285715,5,3,9,17,40,90,R_326lV4mxZlspdkA,2
52,Female,,Canada,Canada,marine ecologist,1,,,25,35.714285714285715,1,0,2,3,30,70,R_3ux0r5Z2M3sNlij,2
64,Female,,USA,USA,community and ecosystem ecologist,3,," At least in the Arctic where I work, seems like humans have lit a match and tossed it in a pile of dry tinder. The tinder would likely not have burned without the match and the match itself wasn't much heat itself, but the flame now is big and growing, no matter if we humans continue to light matches and toss them into the flame.",12.5,7.142857142857143,2,1,5,8,71,40,R_3K1WGAQNYcXmlhv,2
46,Male,,México,"Guatemala, El Salvador, Honduras, Nicaragua, Dominican Republic, Costa Rica, Panama, Mexico","Chief, Energy and Natural Resources Unit",1,,,91.66666666666667,92.85714285714286,10,4,7,21,60,100,R_7xlSGym7AQWabp7,2
36,Female,,USA,USA,Social Scientist-Assistant Professor,1,,,54.166666666666664,60.714285714285715,4,1,7,12,70,71,R_5OtYrC5qs2NAE13,2
83,Female,,UK,UK,Sustainability in society,1,,,54.166666666666664,32.142857142857146,2,3,7,12,25,33,R_8IQUP1fGbVLzRb8,2
40,Female,,Australia,Australia,Research Fellow,1,,,45.833333333333336,28.571428571428573,1,0,5,6,20,70,R_92Gag9NPMCDN2jD,2
67,Female,,USA,USA,Researcher and professor,1,,,12.5,7.142857142857143,2,2,0,4,50,50,R_3OW9ZMrct0aaljc,2
40,Female,,France,France,Researcher - marine biology,1,,,45.833333333333336,57.142857142857146,2,3,3,8,80,60,R_2hszJjpZQd70BEM,2
38,Male,,Czechia,Czechia,I work with microbes that consume or produce greenhouse gases,1,,,50,32.142857142857146,5,3,6,14,75,30,R_8k6qdh60lcRcsqB,2
45,Female,,Mexico,Mexico,Full professor--quantitative ecology,1,,,25,17.857142857142858,0,0,0,0,50,20,R_5xxTlWnp9ayMfQP,2
56,Other,,USA,USA,professor of environmental studies,1,,,62.5,64.28571428571429,7,4,8,19,11,100,R_7eqXvTx2y3Qpdtj,2
56,Female,,New Zealand,"New Zealand, UK","Climate physics, climate policy",1,,,37.5,10.714285714285714,1,1,1,3,60,43,R_9WHKHyHAMqD14pr,2
66,Female,,Australia,Australia,Ecosystem ecologist,1,,,83.33333333333333,85.71428571428571,11,6,13,30,6,97,R_93uN3ZbgsZ6IOe5,2
50,Male,,Portugal,"Spain, Brazil, Portugal",Assistant Researcher-marine ecologist/ecophysiologist,1,,,20.833333333333332,32.142857142857146,4,1,11,16,60,80,R_4Pv3aDhtnQLBixv,2
74,Female,,USA,"Brazil, South Africa, Hungary, USA",Climate cghange and emerging infectious disease consultant,3,,But I also believe the IPCC is a major part of the problem of finding effective solutions,16.666666666666668,25,3,0,3,6,50,50,R_6RjSgV8oip4ogT8,2
69,Female,,USA,"USA, Canada, Mexico",retired professor and agency administrator; remaining active both pro bono and part-time paid,3,,"The threat is big and real but I am frustrated by IPCC over-reliance on RCP 8.5, especially when used as a default basis for BAU outcomes",29.166666666666668,21.428571428571427,1,0,2,3,20,21,R_1puK1X45cOYe1dX,2
38,Female,,Malaysia,Malaysia,Research on Aquatic System and Climate Change,1,,,58.333333333333336,28.571428571428573,0,0,0,0,100,10,R_40w3TaItai3kH7L,2
NA,Male,,Italy,Italy,Policy,1,,,37.5,46.42857142857143,5,5,6,16,31,31,R_2fxKqlrVQQ86k7v,2
68,Female,,USA,ISA,climate scientist,1,,,79.16666666666667,57.142857142857146,5,2,10,17,1,99,R_7EnwLSE1QiucuD9,2
73,Female,,Brasil,Brazil,Climate scientist,1,,,20.833333333333332,3.5714285714285716,1,1,2,4,90,95,R_6Tyaive41Va267n,2
44,Female,,China,China,Research professor,1,,,33.333333333333336,10.714285714285714,0,0,0,0,95,0,R_4jPOUgGCP6k6JF1,2
NA,Male,,australia,australia,research scientist,1,,,62.5,42.857142857142854,0,0,9,9,51,71,R_4gOvk9GiSONMTMS,2
72,Female,,Canada,Canada,Professor,2,I am one of the Lead authors of the AR6-WGI report of IPCC (2021),,33.333333333333336,32.142857142857146,5,3,4,12,50,72,R_7vZqlZrWGLlspBD,2
61,Female,,Canada,Canada,Grassland ecology,1,,,75,57.142857142857146,5,1,6,12,40,80,R_7IblOWaVrupszVO,2
69,Female,,Australia,Pacific Islands,climate change adaptation,1,,,25,17.857142857142858,1,2,6,9,70,60,R_9pYIweyVSFmZAhW,2
47,Male,,Australia,Australia,Professor - civil engineer,1,,,41.666666666666664,35.714285714285715,0,2,7,9,50,50,R_4Z7OJzTQHG8XXuV,2
60,Female,,India,India,Professor,1,,,29.166666666666668,21.428571428571427,1,0,2,3,71,71,R_4FUgcBdGvOb6f9D,2
57,Female,,United States,United States,"Professor of Physical Hydrology, Forest Hydrology, Associate Dean and Associate Director",3,,"Yes: Anthropogenic climate change is occurring.

No: I doubt the planet feels or is threatened. 

The Planet has shrugged off many cataclysmic events, many of which were more impactful than humans.",50,50,1,0,4,5,73,67,R_7z51BZ3PiXYsFa1,2
69,Female,,Australia,Australia,"Climate scientist, climate science communication",1,,,20.833333333333332,14.285714285714286,3,1,6,10,50,81,R_4vLuz9AoFQeu9YR,2
70,Female,,Australia,Australia,Professor of Public Health (Hon),1,,,45.833333333333336,32.142857142857146,6,0,1,7,8,50,R_4fxGgur5aRBi3vL,2
36,Female,,China,China,Geologist,1,,,62.5,53.57142857142857,4,4,7,15,71,50,R_4VkkEyXu1VC1hIm,2
50,4,,China,China,Research Professor -- Limnology,1,,,66.66666666666667,67.85714285714286,16,10,13,39,60,60,R_8e3S0Es1QYc3v6I,2
59,Male,,United States,United States,professor of physical oceanography,1,,,12.5,10.714285714285714,2,0,0,2,40,82,R_6mrfVMEUSMYUVAb,2
81,Female,,Argentina,Argentina,"Atmospheric, solar radiation and sustainability researcher",1,,,29.166666666666668,21.428571428571427,0,5,5,10,85,71,R_7C2eFZ5wU5LITUR,2
54,Female,,Australia,Australia,Climate adaptation,1,,,29.166666666666668,42.857142857142854,1,1,1,3,40,80,R_493XPuo3h00tLjy,2
51,Female,,中国,中国, atmospheric scientist,1,,,25,28.571428571428573,3,5,3,11,20,60,R_4pydYgF3c1sos70,2
56,Female,,China,China,research associate--greenhouse gases emission modeling,1,,,33.333333333333336,32.142857142857146,5,0,4,9,72,29,R_91BOVjBgjbcd3w6,2
50,Male,,australia,australia,"social science research, climate change impacts, risks, disasters, adaptation",1,,,95.83333333333333,82.14285714285714,15,8,14,37,10,90,R_9f6EeahqEaTto3f,2
49,Male,,Australia,Australia,Health Equity Researcher,1,,,62.5,67.85714285714286,4,2,9,15,30,NA,R_9OPVV0t8soiSvBs,2
70,Female,,USA,USA,professor of plant ecology,1,,,20.833333333333332,14.285714285714286,1,1,1,3,81,30,R_6noqFR6eZsnv65b,2
70,Female,,USA,USA,paleoclimatologist,3,,"I agree with the IPCC findings that anthropogenic climate change is occurring and that it threatens human life, wellness and infrastructure as well as most ecosystems. I do not think it threatens the planet Earth in the geological sense.",25,25,2,4,6,12,75,81,R_114HCEBpIrAbVPH,2
53,Female,,Zambia,Southern Africa,"Carbon and biomass modeling, ecosystem restoration",1,,,37.5,14.285714285714286,0,1,0,1,71,21,R_2pRdUoweO7QDBGF,2
42,Male,,USA,USA,Research (PI) - agroecology and climate change (social and field science),1,,,83.33333333333333,75,10,10,12,32,19,92,R_3DjQqK05MooUCHe,2
55,4,,usa,"many countries- across Latin America  , Caribbean , sE Asia , west africa","multi- level governance,  agency,  Directir",3,,they are too soft and excessively tempered,37.5,14.285714285714286,1,2,2,5,95,28,R_6ouvGZU0CbVEvht,2
70,Female,,Australia,Australia,Nature and mental health. Retired emeritus prof,1,,,66.66666666666667,32.142857142857146,1,5,4,10,10,80,R_4C27AV6h3My2ZiI,2
48,Male,,United States,United States,Professor- evolutionary responses to climate chsnge,1,,,100,57.142857142857146,4,4,11,19,29,100,R_32flOcRvelPCSOK,2
58,Female,,India,India,Crop genetics and breeding,1,,,75,78.57142857142857,7,4,13,24,29,70,R_4wKwx5ztXoADvW4,2
47,Female,,Japan,Japan,professor - human ecology and global health in Oceania,1,,,33.333333333333336,35.714285714285715,4,4,6,14,50,30,R_4nDVlWBEHb9NnfH,2
60,Female,,United States,United States,Professor,1,,,4.166666666666667,32.142857142857146,0,0,0,0,31,29,R_7ozMRzLE8OiTzAC,2
43,Male,,USA,USA,Ecologist,1,,,29.166666666666668,21.428571428571427,1,6,8,15,24,84,R_3bHh7NTgjbrjYWt,2
56,Female,,Israel,Israel,Researcher,1,,,50,50,4,1,6,11,20,81,R_4JauObzcHuNiUdB,2
75,Female,,Australia,Global,marine biologist studying evolution of taxa and taxonomy,2,"There is of course an impact of humanity on the ecosystem, but this is much smaller than IPCC believes. The IPCC ignores the effect of water in the atmosphere, which contributes greatly to global temperature change. As a palaeobiologist, I am very aware of past levels of carbon dioxide in the atmosphere. It has been orders of magnitude higher (e.g. in the PETM) than now, and there was not total ""die off"" at that time. Indeed, there was extensive greening during the PETM - a phenomenon that we are also experiencing now! Humans do impact the environment deleteriously (e.g. with serious chemical pollutants and microplastics) but unfortunately the pre-occupation with carbon dioxide has obscured this somewhat.",,16.666666666666668,28.571428571428573,0,1,1,2,61,71,R_9Vu2skpZbQgTBsJ,2
54,Female,,United States,United States,Professor in engineering who studies global warming potentials of compounds and does life cycle assessment,1,,,12.5,3.5714285714285716,4,0,3,7,20,81,R_3tOns28odicOxwt,2
42,Male,,Indonesia,Indonesia,Researcher - oceanography,1,,,29.166666666666668,32.142857142857146,1,0,0,1,75,60,R_49FzlzqLpe6TZAZ,2
46,Male,,US,US,professor-- biological impacts of climate change,1,,,29.166666666666668,25,0,0,2,2,40,71,R_7futERj8UEP7SjD,2
42,4,,USA,USA,"Professor, atmospheric science",1,,,20.833333333333332,10.714285714285714,1,0,0,1,85,15,R_7iI8fDjVUTTm8qx,2
38,Male,,USA,"USA, Botswana","assistant professor, ecologist",1,,,75,75,0,0,5,5,30,100,R_1fCNNeUIOiABzXH,2
72,Female,,United Kingdom,United Kingdom,Professor and Director,1,,,25,17.857142857142858,0,0,1,1,70,30,R_2E76OpQfkwbfLLM,2
69,Male,,USA,"USA , but a bit in 100 additional countries",environmental sustainability and climate education in medical practice,1,,,4.166666666666667,21.428571428571427,0,0,1,1,30,76,R_3ET5cNkDhBbI5ed,2
48,Male,,South Africa,South Africa,Academic - psychology,1,,,20.833333333333332,42.857142857142854,0,0,5,5,70,51,R_8O9au9Z4uEgZnaN,2
48,Male,,New Zealand,New Zealand,Professor - adaptation to climate change,1,,,45.833333333333336,42.857142857142854,4,1,5,10,20,72,R_407TxLeYiumBaTN,2
46,Female,,Unites States,United States,Associate professor - Economics,1,,,25,28.571428571428573,6,2,7,15,50,50,R_6aIQOhT8OGgCxNv,2
42,Female,,Paksitan,"Pakistan, China, Norway",Atmospheric Scientist,1,,,50,57.142857142857146,6,5,6,17,NA,100,R_4HCCcO6sjBsBAsv,2
33,Female,,India,Global,Global change biologist,1,,,91.66666666666667,67.85714285714286,17,16,7,40,30,90,R_9xDUqu38GesbLR2,2
39,Male,,United States,"Brazil, Kenya, Mongolia, Israel/Palestine",Assistant Professor; infectious disease epidemiology,1,,,50,42.857142857142854,1,4,7,12,40,72,R_6sMGYhCPlOYT6c9,2
44,Female,,India,India,"Teaching, Research",1,,,58.333333333333336,50,10,10,7,27,61,41,R_4zGCHMshzL30LqQ,2
46,Male,,Spain,"Soain, France, England",Associate Professor Botanist,1,,,66.66666666666667,57.142857142857146,7,6,10,23,82,78,R_8dE6usWMGB8kAjR,2
48,Female,,Saudi Arabia,Saudi Arabia,Coral reef ecologist,1,,,45.833333333333336,35.714285714285715,0,2,1,3,29,71,R_9F4ncKpoFnKGiKR,2
53,Female,,bangladesh,Bangladesh,"Research on climate change and health, perception on climate change",1,,,41.666666666666664,32.142857142857146,0,0,2,2,81,50,R_9TY2ZKL0W5RKNYz,2
44,Male,,German,Germany,Soil ecology,1,,,58.333333333333336,46.42857142857143,7,1,7,15,60,73,R_22RE4f0S8wQuaAF,2
60,Male,,Germany,Denmark,human medicin,1,,,37.5,50,3,5,4,12,21,96,R_8jSuewSNEbNoPtv,2
52,Female,,Spain,"Spain, Portugal, Brasil, Europe, Global",Biodiversity research,1,,,33.333333333333336,25,0,0,3,3,50,80,R_2dW9nH8lzJv0sSQ,2
47,Male,,Pakistan,Pakistan,Climate-related Disclosure research studies,2,,,66.66666666666667,57.142857142857146,10,8,9,27,40,40,R_9CTbufMwrlikqDg,2
45,Male,,South Africa,"Kenya, Ghana, Eswatini",Environmental Epidemiologist / Preventive and Social Medicine,3,,Proving this is 100% the case is difficult,79.16666666666667,42.857142857142854,5,1,7,13,60,60,R_9Oq9170KV1vfYpl,2
58,Female,,Qatar,Qatar,"research professor, climate change ecology/vulnerability",1,,,25,10.714285714285714,2,0,2,4,29,40,R_9P0RD34opMy8xhP,2
55,Female,,Italy,Italy,Scientific officer in climate and air quality,1,,,33.333333333333336,21.428571428571427,3,1,4,8,70,30,R_82K2dXMsO1SCReJ,2
68,Female,,Spain,Spain,research in paleoclimate and pollution,1,,,25,39.285714285714285,0,0,3,3,49,50,R_2v1bqkLUlpLj8dm,2
59,Female,,Switzerland,Switzerland,professor -- climate policy,1,,,41.666666666666664,39.285714285714285,1,2,5,8,60,50,R_2lKAZ18GftJqPrc,2
NA,Female,,Ethiopia,Ethiopia,Researcher in the field of climate change,1,,,58.333333333333336,32.142857142857146,1,3,3,7,85,50,R_8WBjYGHGKOwP9zj,2
56,Male,,Spain,EU,Research,1,,,33.333333333333336,39.285714285714285,5,1,5,11,50,50,R_8lBFJH9PIm3g3JL,2
27,Female,,Norway,Norway,clmate researcher - modeller (machine learning),1,,,62.5,67.85714285714286,9,2,10,21,30,80,R_87TBzX6xqLBMvQa,2
48,Male,,France,France,senior scientist- atmospheric chemist,1,,,58.333333333333336,50,13,3,12,28,11,85,R_8OUMOUxajRKJtgq,2
